"";"name";"block";"anthroTreat";"empathTreat";"treatAnthroEmpath";"treatAnthroInter";"treatEmpathInter";"anthro";"empathy";"AnthroEmpath";"interEmpath";"interAnthro";"servFailure";"InitialTechTrustExpect";"PostIncTechTrustExpect";"PostIncTechTrustPerfor";"PostIncTechTrustDiconf";"PostIncTechTrustSatisf";"PostIncTechTrustIntent";"playfulness";"innovativeness";"robotSE";"ageNum";"trustingstance";"genderNum";"eduNum";"IntentOfUsageContinuat";"reUse"
"1";"anthropo";"anthroTreat";1;-0,01;0,687;0,548;-0,043;0,397;0,155;0,345;0,06;0,252;-0,082;0;0,041;0,095;0,039;0,065;0,079;-0,005;-0,108;0,02;-0,01;0,034;-0,081;0,074;0,11;0,179
"2";"empathy";"empathTreat";-0,01;1;0,683;0,06;0,616;0,084;0,141;0,106;0,104;0,096;0,047;0,17;0,028;-0,005;0,043;0,035;0,084;0,012;0,106;0,095;-0,08;0,108;0,057;0,079;0,144;-0,003
"3";"treatAnthroEmpath";"treatAnthroEmpath";0,687;0,683;1;0,444;0,409;0,339;0,188;0,312;0,122;0,257;-0,001;0,117;0,056;0,04;0,054;0,078;0,125;-0,003;0;0,081;-0,084;0,104;0;0,1;0,177;0,085
"4";"TreatAnthroInter1";"treatAnthroInter";0,548;0,06;0,444;1;0,606;0,294;0,084;0,247;0,678;0,733;0,745;-0,055;-0,13;-0,154;-0,14;-0,176;-0,127;-0,129;-0,159;0,021;-0,077;0,033;0,048;0,02;-0,036;0,023
"5";"TreatEmpathInter1";"treatEmpathInter";-0,043;0,616;0,409;0,606;1;0,077;0,023;0,057;0,624;0,558;0,774;0,011;-0,164;-0,218;-0,148;-0,223;-0,164;-0,141;-0,047;0,047;-0,108;0,051;0,143;0,056;-0,064;-0,137
"6";"MC_Anthro_2";"anthro";0,397;0,084;0,339;0,294;0,077;1;0,438;0,877;0,296;0,702;0,025;0,246;0,299;0,372;0,294;0,294;0,269;0,003;-0,036;0,283;0,005;0,079;0,021;0,003;0,252;0,178
"7";"MC_Empathy_1";"empathy";0,191;0,057;0,163;0,1;-0,02;0,41;0,845;0,648;0,454;0,259;-0,039;0,27;0,259;0,34;0,303;0,339;0,29;0,029;-0,004;0,248;-0,107;0,096;0,076;-0,07;0,283;0,107
"8";"MC_Empathy_2";"empathy";0,078;0,137;0,133;0,071;0,039;0,405;0,82;0,663;0,473;0,265;-0,029;0,191;0,282;0,358;0,309;0,259;0,231;0,033;0,011;0,284;-0,035;0,134;0,126;-0,124;0,273;0,116
"9";"MC_Empathy_3rev";"empathy";0,107;0,163;0,169;0,042;0,044;0,297;0,838;0,597;0,449;0,182;-0,058;0,278;0,298;0,302;0,218;0,124;0,209;0,048;-0,002;0,194;-0,153;0,198;0,021;0,006;0,186;0,01
"10";"anthroEmpath1";"AnthroEmpath";0,371;0,071;0,308;0,249;0,042;0,858;0,696;0,942;0,416;0,578;0;0,318;0,357;0,429;0,359;0,368;0,322;0,026;-0,012;0,301;-0,058;0,12;0,106;-0,038;0,303;0,174
